Community name,% of people aged >65 and < 5 years old,% Visible minority population,% Aboriginal identity,% one parent families,% Living alone,% Women,% Newcomers to community (Mobility Status - movers from 2015-2016),% Recent immigrant (2011-2016) and non permanent residents,% Language (neither FR or EN),"% Low education (No certificate, diploma or degree)","% Low income (Based on the Low-income measure, after-tax (LIM-AT)) aged 18+",% Low income and aged 65+,% Unemployed,Public transit access,% Area of tree canopy (2020),% paved area,High income households,Resident count
01B,,,,,,,,,,,,,,0,0.024415245,0.260228568,,0
01C,,,,,,,,,,,,,,0,0.089813617,0.166706387,,0
01F,,,,,,,,,,,,,,0,0.031109183,0.133989625,85,0
01H,,,,,,,,,,,,,,0,0.059726193,0.019454791,,0
01I,,,,,,,,,,,,,,0,0.209101271,4.3251E-05,,0
01K,,,,,,,,,,,,,,2,0.031331808,0.024003058,,0
02B,,,,,,,,,,,,,,0,0.010747731,0.067124544,,0
02C,,,,,,,,,,,,,,0,0.004937102,0.070584168,,0
02E,,,,,,,,,,,,,,2,0.024178561,0.176346481,,0
02F,,,,,,,,,,,,,,0,0.012430775,0.128091523,,0
02K,,,,,,,,,,,,,,0,0.00202203,0.021205445,,0
02L,,,,,,,,,,,,,,0,0.006736474,0.007738975,,0
03W,,,,,,,,,,,,,,0,0.00442037,0.019881154,,0
05D,,,,,,,,,,,,,,0,0.005154277,0.084133061,,0
05E,,,,,,,,,,,,,,0,0.001283708,0.058536533,,0
05F,,,,,,,,,,,,,,0,0.000245916,0.054600538,,0
05G,,,,,,,,,,,,,,0,0.004685821,0.047168575,,0
06A,,,,,,,,,,,,,,0,0.029349026,0.045027026,,0
06B,,,,,,,,,,,,,,0,0.153450929,0.019614327,,0
06C,,,,,,,,,,,,,,0,0.073669394,0.090479223,,0
09D,,,,,,,,,,,,,,0,0.0251549,0.198629339,,0
09H,,,,,,,,,,,,,,5,0.043814941,0.156118429,,0
09K,,,,,,,,,,,,,,0,0.002296168,0.284736473,,0
09O,,,,,,,,,,,,,,1,0.011021088,0.045228889,,0
09P,,,,,,,,,,,,,,0,0.007143266,0.024086222,,0
09Q,,,,,,,,,,,,,,7,0.004919655,0.08171994,,0
10D,,,,,,,,,,,,,,0,0.001882785,0.108073613,,0
10E,,,,,,,,,,,,,,0,0.002276874,0.225699211,,0
12A,,,,,,,,,,,,,,0,0.003177097,0.229095709,0,0
12B,,,,,,,,,,,,,,0,0.003664064,0.036674806,,0
12C,,,,,,,,,,,,,,0,0.00888379,0.084909511,0,0
12I,,,,,,,,,,,,,,0,0.016187206,0.008092583,,0
12J,,,,,,,,,,,,,,0,0.004798256,0.01219517,,0
12K,,,,,,,,,,,,,,0,0.013163247,0.098322131,,0
12L,,,,,,,,,,,,,,0,0.001714232,0.024124889,,0
13A,,,,,,,,,,,,,,0,0.020809877,0.00694035,,0
13C,,,,,,,,,,,,,,0,0.02998742,0.015770215,,0
13E,,,,,,,,,,,,,,0,0.002152018,0.019351449,,0
13F,,,,,,,,,,,,,,0,0.018626521,0.02923316,,0
13G,,,,,,,,,,,,,,0,0.015985762,0.025857488,,0
13H,,,,,,,,,,,,,,0,0.001976564,0.082503649,,0
13I,,,,,,,,,,,,,,0,0.009478839,0.126671618,,0
13J,,,,,,,,,,,,,,0,0.015555002,0.006664112,,0
13L,,,,,,,,,,,,,,0,0.01552903,0.069645311,,0
13M,,,,,,,,,,,,,,0,0.042283429,0.044448363,,0
ABBEYDALE,0.149068323,0.466677858,0.070505288,0.077220077,0.045492698,0.485982877,0.1569582,0.095685748,0.031055901,0.199764982,0.074702031,0.003357395,0.065469196,22,0.033019051,0.41563319,30,5957
ACADIA,0.230798479,0.207224335,0.047528517,0.053231939,0.151806084,0.491539924,0.163022814,0.087452471,0.01378327,0.131653992,0.091730038,0.024239544,0.071292776,48,0.051683982,0.500921368,210,10520
ALBERT PARK/RADISSON HEIGHTS,0.171644991,0.447334572,0.058596541,0.062884093,0.101043304,0.480205802,0.226525654,0.13434329,0.017150207,0.194369015,0.113620123,0.012862655,0.076461341,39,0.032290811,0.440512744,45,6997
ALPINE PARK,,,,,,,,,,,,,,0,0.006498931,0.018467749,,#N/A
ALTADORE,0.145203111,0.115960818,0.023048113,0.033851916,0.118553731,0.509219245,0.164938058,0.062662057,0.002160761,0.04897724,0.051858254,0.005762028,0.043215212,31,0.069670536,0.421446055,1120,6942
ALYTH/BONNYBROOK,,,,,,,,,,,,,,32,0.011448489,0.835847205,,0
AMBLETON,,,,,,,,,,,,,,0,2.78895E-05,0.0200738,,#N/A
APPLEWOOD PARK,0.155135367,0.700472712,0.015040825,0.050852313,0.060306546,0.489757914,0.146827102,0.126772669,0.065176909,0.208422862,0.058730841,0.006446068,0.055149692,13,0.019549273,0.427185258,50,6981
ARBOUR LAKE,0.22685752,0.35690743,0.015538186,0.034372351,0.069215557,0.510594218,0.10029193,0.07863264,0.017892457,0.107825596,0.049910538,0.012242207,0.068273849,89,0.019961078,0.46907887,710,10619
ASPEN WOODS,0.130319712,0.456807114,0.004763921,0.017997036,0.03747618,0.504658056,0.12015668,0.108511539,0.019055685,0.050285835,0.023290282,0,0.059813678,32,0.057859775,0.329557108,1500,9446
AUBURN BAY,0.148804453,0.205316067,0.022718237,0.021866303,0.04986653,0.501561879,0.157891748,0.058215482,0.007099449,0.047992276,0.024706083,0.000851934,0.032657466,40,0.010791308,0.33821392,930,17607
AURORA BUSINESS PARK,,,,,,,,,,,,,,3,0.023162068,0.084149316,,0
BANFF TRAIL,0.127137009,0.220322658,0.015651336,0.030098724,0.106429087,0.444257163,0.235973995,0.120394895,0.014447387,0.06862509,0.102335661,0.006019745,0.054177703,23,0.069811778,0.531252013,165,4153
BANKVIEW,0.089611872,0.203576865,0.039954338,0.021879756,0.32781583,0.485730594,0.336757991,0.086567732,0.00761035,0.066590563,0.147450533,0.018074581,0.068493151,16,0.079179323,0.58095873,210,5256
BAYVIEW,0.246338216,0.093209055,0.019973369,0.019973369,0.029294274,0.521970706,0.066577896,0.013315579,0,0.046604527,0,0,0.026631158,8,0.094898988,0.454279805,205,751
BEDDINGTON HEIGHTS,0.18898732,0.379537954,0.044728157,0.057755776,0.069828035,0.499218343,0.151120375,0.079902727,0.049939204,0.150251867,0.079902727,0.010422095,0.059058537,72,0.046976263,0.496792441,200,11514
BEL-AIRE,0.235897436,0.064102564,0,0.025641026,0.038461538,0.505128205,0.115384615,0,0,0.051282051,0,0,0.064102564,1,0.115016578,0.421744386,,390
BELMONT,0.174418605,,,,0,0.279069767,,,,,,,,0,0.014340603,0.036012311,,86
BELTLINE,0.089736957,0.257670421,0.02049425,0.012336344,0.374945282,0.449759242,0.29686816,0.122368578,0.013132238,0.050141271,0.108440447,0.017907597,0.051733057,66,0.01279113,0.79673285,1465,25129
BELVEDERE,0.170731707,,,,0,0,,,,,,,,4,0.011240833,0.08700594,,41
BONAVISTA DOWNS,0.202586207,0.096982759,0.032327586,0.043103448,0.058189655,0.470905172,0.096982759,0.021551724,0,0.113146552,0.032327586,0,0.032327586,8,0.042153509,0.387725816,30,928
BOWNESS,0.204304933,0.105381166,0.067713004,0.056950673,0.144215247,0.499192825,0.195964126,0.055156951,0.004035874,0.152914798,0.101793722,0.018834081,0.058295964,69,0.084905585,0.381715375,250,11150
BRAESIDE,0.224461671,0.171403962,0.023255814,0.059431525,0.103875969,0.506976744,0.155900086,0.060292851,0.006890612,0.1042205,0.055124892,0.010335917,0.064599483,21,0.064805233,0.480213487,185,5805
BRENTWOOD,0.202972341,0.269712399,0.014448878,0.031649924,0.122884271,0.496078162,0.200908215,0.114902986,0.008944544,0.062611807,0.090821522,0.006192376,0.049539012,50,0.067931787,0.546182933,400,7267
BRIDGELAND/RIVERSIDE,0.245354792,0.19897586,0.0329188,0.029992685,0.249451353,0.51923921,0.198244331,0.065106072,0.015362107,0.081199707,0.115581565,0.02633504,0.038039503,30,0.055519079,0.345949459,365,6835
BRIDLEWOOD,0.142393798,0.465153073,0.022941223,0.037180603,0.046119769,0.506209952,0.130527648,0.163357329,0.014634918,0.090182739,0.042718139,0.003559845,0.058935211,16,0.016052457,0.373490303,410,12641
BRITANNIA,0.237681159,0.108695652,0,0.036231884,0.095652174,0.5,0.094202899,0.072463768,0,0.057971014,0.079710145,0.014492754,0.050724638,4,0.085641685,0.408511793,195,690
BURNS INDUSTRIAL,,,,,,,,,,,,,,11,0.031598862,0.51508013,,0
CALGARY INTERNATIONAL AIRPORT,,,,,,,,,,,,,,33,0.001005047,0.337366785,,0
CAMBRIAN HEIGHTS,0.190078585,0.166994106,0.019646365,0.049115914,0.109037328,0.495088409,0.206286837,0.034381139,0,0.095776031,0.09086444,0.009823183,0.071218075,12,0.079769502,0.477046063,120,2036
CANADA OLYMPIC PARK,,,,,,,,,,,,,,4,0.036690798,0.281085034,,0
CANYON MEADOWS,0.21183106,0.226259182,0.034758657,0.048530955,0.083420776,0.496589717,0.121327387,0.072796432,0.011804827,0.09706191,0.047219307,0.007869885,0.069517314,33,0.064439711,0.462364939,475,7624
CAPITOL HILL,0.155143339,0.205522766,0.028456998,0.033726813,0.156408094,0.470699831,0.194983137,0.076939292,0.008431703,0.08010118,0.104342327,0.020025295,0.052698145,26,0.078623936,0.479783605,245,4744
CARRINGTON,0.157342657,,,,0.033216783,0.480769231,,,,,,,,1,0.000890935,0.025951819,,572
CASTLERIDGE,0.148359719,0.698547413,0.051411784,0.043251183,0.033621675,0.477884772,0.191774115,0.208095316,0.065284805,0.215439856,0.091398727,0.009792721,0.066916925,25,0.037080751,0.505730919,35,6127
CEDARBRAE,0.224154906,0.18542829,0.060715458,0.062356416,0.105349524,0.506892025,0.137840499,0.081227437,0.010666229,0.122251395,0.070561208,0.006563833,0.072202166,24,0.043909126,0.441797264,120,6094
CHAPARRAL,0.131104789,0.195195195,0.028844634,0.032400822,0.040856646,0.501185396,0.109846689,0.063221116,0.007902639,0.095226806,0.028844634,0.002370792,0.055318476,44,0.017935556,0.303707041,1020,12654
CHARLESWOOD,0.229756234,0.191930513,0.011207621,0.029420006,0.095544971,0.474642757,0.154104791,0.084057159,0.007004763,0.082656206,0.070047632,0.005603811,0.061641917,20,0.092078956,0.3873959,300,3569
CHINATOWN,0.303116147,0.485633347,0.004046945,0.020234723,0.366248482,0.50586807,0.151760421,0.111290975,0.165924727,0.165924727,0.190206394,0.109267503,0.024281667,4,0.052715233,0.648309669,65,2471
CHINOOK PARK,0.26654633,0.153429603,0.006016847,0.021058965,0.046931408,0.51143201,0.102286402,0.060168472,0,0.063176895,0.04211793,0.006016847,0.039109507,6,0.099868938,0.520849642,215,1662
CHRISTIE PARK,0.327067669,0.256109023,0.01174812,0.030545113,0.042763158,0.523966165,0.089285714,0.023496241,0.014097744,0.082236842,0.032894737,0.004699248,0.051691729,8,0.079000557,0.455973615,290,2128
CITADEL,0.140716483,0.436141709,0.019847177,0.040686712,0.044656148,0.503522874,0.109159472,0.071449836,0.020343356,0.097747345,0.048625583,0.002480897,0.06797658,30,0.025745878,0.447291578,470,10077
CITYSCAPE,0.150128866,0.515463918,0,0.009664948,0.013530928,0.49871134,0.294780928,0.120811856,0.035438144,0.054768041,0.051546392,0.003221649,0.027384021,9,0.001423065,0.042532352,10,3104
CLIFF BUNGALOW,0.09762533,0.18469657,0.044854881,0.015831135,0.402110818,0.497097625,0.287598945,0.071240106,0,0.039577836,0.113456464,0.021108179,0.044854881,7,0.070854053,0.586188443,90,1895
COACH HILL,0.242601726,0.25431566,0.043156597,0.040073983,0.118988903,0.527435265,0.094019729,0.092478422,0.009247842,0.064734895,0.050863132,0.007706535,0.053945746,10,0.066549863,0.455820623,285,3244
COLLINGWOOD,0.216985327,0.160071143,0.013339262,0.033348155,0.112939084,0.498888395,0.131169409,0.048910627,0.004446421,0.084481992,0.064473099,0.006669631,0.055580258,21,0.073065457,0.346308087,230,2249
COPPERFIELD,0.132822108,0.250669175,0.027852131,0.031831006,0.06315561,0.493959343,0.181943138,0.080662664,0.010489763,0.07379006,0.024234971,0.001446864,0.048469941,34,0.007343393,0.289187829,415,13823
CORAL SPRINGS,0.182209964,0.907602138,0.013790726,0.040510257,0.012928805,0.488019307,0.099982762,0.082744354,0.093087399,0.212032408,0.037924496,0.007757283,0.04912946,20,0.012451914,0.358663042,140,5801
