REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060056,20.0,480.0,265.0,16.4,70.0,320.0,70.0,10.0,10.0,465.0,25.0,465.0
2021S051248060057,10.0,390.0,155.0,6.7,65.0,260.0,65.0,20.0,5.0,375.0,25.0,375.0
2021S051248060058,15.0,475.0,255.0,6.1,100.0,295.0,100.0,30.0,5.0,470.0,35.0,465.0
2021S051248060059,15.0,385.0,175.0,5.9,95.0,210.0,95.0,10.0,5.0,350.0,15.0,350.0
2021S051248060060,20.0,635.0,345.0,17.6,165.0,370.0,160.0,25.0,10.0,615.0,55.0,615.0
2021S051248060061,30.0,480.0,225.0,8.3,75.0,275.0,75.0,30.0,15.0,445.0,35.0,440.0
2021S051248060062,30.0,595.0,140.0,11.8,110.0,365.0,110.0,35.0,10.0,600.0,35.0,605.0
2021S051248060063,50.0,695.0,355.0,17.3,75.0,460.0,75.0,50.0,10.0,740.0,30.0,735.0
2021S051248060064,25.0,470.0,275.0,4.3,50.0,305.0,50.0,25.0,10.0,450.0,35.0,450.0
2021S051248060065,15.0,385.0,165.0,18.8,85.0,220.0,85.0,15.0,5.0,365.0,20.0,365.0
2021S051248060066,20.0,455.0,90.0,15.4,115.0,340.0,115.0,25.0,10.0,530.0,10.0,530.0
2021S051248060067,30.0,565.0,115.0,12.7,120.0,380.0,120.0,25.0,0.0,595.0,20.0,600.0
2021S051248060068,25.0,410.0,160.0,20.8,55.0,230.0,55.0,35.0,5.0,400.0,15.0,400.0
2021S051248060069,25.0,390.0,125.0,38.5,75.0,245.0,70.0,30.0,10.0,395.0,25.0,390.0
2021S051248060070,15.0,340.0,135.0,9.7,95.0,230.0,90.0,15.0,10.0,385.0,20.0,385.0
2021S051248060071,20.0,570.0,145.0,15.9,150.0,330.0,150.0,25.0,10.0,550.0,25.0,550.0
2021S051248060072,25.0,375.0,85.0,14.7,65.0,205.0,65.0,20.0,10.0,355.0,10.0,350.0
2021S051248060073,30.0,425.0,200.0,11.3,30.0,320.0,35.0,45.0,0.0,465.0,10.0,470.0
2021S051248060074,10.0,280.0,65.0,24.1,60.0,155.0,60.0,15.0,10.0,270.0,10.0,275.0
2021S051248060075,10.0,370.0,85.0,18.2,85.0,240.0,85.0,20.0,5.0,365.0,5.0,365.0
2021S051248060077,10.0,385.0,105.0,26.1,60.0,240.0,60.0,35.0,10.0,360.0,10.0,360.0
2021S051248060078,35.0,630.0,150.0,17.5,130.0,355.0,135.0,20.0,10.0,595.0,20.0,595.0
2021S051248060079,45.0,620.0,330.0,16.7,45.0,430.0,45.0,50.0,5.0,655.0,20.0,655.0
2021S051248060080,15.0,295.0,150.0,23.3,35.0,160.0,35.0,10.0,5.0,275.0,5.0,270.0
2021S051248060085,30.0,595.0,300.0,15.9,70.0,400.0,70.0,45.0,0.0,605.0,45.0,600.0
2021S051248060086,20.0,465.0,115.0,12.1,75.0,295.0,75.0,20.0,5.0,445.0,10.0,445.0
2021S051248060087,35.0,540.0,105.0,11.5,95.0,350.0,95.0,25.0,10.0,540.0,5.0,535.0
2021S051248060088,20.0,440.0,80.0,22.2,85.0,285.0,85.0,30.0,5.0,435.0,5.0,440.0
2021S051248060089,20.0,480.0,115.0,18.4,95.0,355.0,95.0,35.0,10.0,555.0,30.0,560.0
2021S051248060090,25.0,680.0,275.0,18.2,180.0,405.0,180.0,80.0,85.0,675.0,15.0,675.0
2021S051248060091,30.0,505.0,140.0,24.6,55.0,385.0,55.0,50.0,5.0,520.0,10.0,525.0
2021S051248060092,25.0,710.0,260.0,10.3,110.0,515.0,100.0,65.0,10.0,685.0,15.0,730.0
2021S051248060093,50.0,585.0,270.0,6.4,50.0,460.0,50.0,55.0,15.0,625.0,10.0,625.0
2021S051248060094,30.0,535.0,190.0,15.9,205.0,390.0,40.0,70.0,10.0,505.0,15.0,670.0
2021S051248060095,35.0,505.0,230.0,7.5,60.0,400.0,60.0,55.0,5.0,565.0,15.0,570.0
2021S051248060096,40.0,580.0,220.0,16.4,65.0,410.0,65.0,45.0,10.0,570.0,20.0,575.0
2021S051248060097,20.0,670.0,235.0,15.1,45.0,470.0,45.0,40.0,10.0,605.0,15.0,605.0
2021S051248060098,50.0,800.0,260.0,5.4,55.0,475.0,55.0,30.0,10.0,690.0,5.0,685.0
2021S051248060099,40.0,485.0,90.0,6.9,85.0,400.0,85.0,35.0,5.0,585.0,10.0,595.0
2021S051248060100,20.0,380.0,60.0,7.0,40.0,270.0,40.0,25.0,0.0,385.0,0.0,380.0
2021S051248060101,25.0,440.0,60.0,9.5,95.0,255.0,95.0,20.0,5.0,440.0,0.0,440.0
2021S051248060102,35.0,780.0,115.0,12.8,90.0,490.0,90.0,25.0,5.0,755.0,0.0,760.0
2021S051248060103,40.0,655.0,150.0,11.8,85.0,425.0,80.0,25.0,10.0,625.0,5.0,620.0
2021S051248060104,55.0,870.0,230.0,15.3,60.0,635.0,60.0,70.0,5.0,835.0,5.0,835.0
2021S051248060105,20.0,535.0,125.0,10.2,115.0,370.0,115.0,25.0,5.0,610.0,5.0,615.0
2021S051248060106,55.0,875.0,255.0,9.8,65.0,645.0,65.0,55.0,15.0,835.0,10.0,835.0
2021S051248060107,30.0,490.0,70.0,8.5,65.0,360.0,70.0,35.0,10.0,515.0,10.0,510.0
2021S051248060108,35.0,520.0,90.0,9.6,85.0,315.0,85.0,15.0,5.0,520.0,0.0,520.0
2021S051248060109,25.0,995.0,215.0,13.2,120.0,805.0,110.0,125.0,15.0,1005.0,5.0,1010.0
2021S051248060110,35.0,740.0,80.0,11.8,85.0,510.0,85.0,50.0,10.0,760.0,5.0,760.0
2021S051248060112,20.0,620.0,85.0,9.8,55.0,510.0,55.0,65.0,10.0,625.0,5.0,630.0
2021S051248060113,15.0,420.0,90.0,6.7,30.0,305.0,30.0,30.0,0.0,380.0,0.0,380.0
2021S051248060114,10.0,430.0,140.0,17.8,30.0,365.0,30.0,50.0,5.0,420.0,0.0,425.0
2021S051248060115,15.0,825.0,245.0,7.0,70.0,645.0,75.0,90.0,5.0,785.0,0.0,785.0
2021S051248060116,35.0,640.0,170.0,11.4,60.0,440.0,65.0,65.0,10.0,630.0,10.0,630.0
2021S051248060117,85.0,635.0,120.0,6.6,75.0,450.0,75.0,40.0,5.0,645.0,5.0,810.0
2021S051248060118,20.0,665.0,175.0,12.4,80.0,605.0,80.0,75.0,10.0,720.0,5.0,715.0
2021S051248060119,50.0,775.0,175.0,3.5,80.0,485.0,80.0,25.0,5.0,715.0,0.0,710.0
2021S051248060120,40.0,465.0,75.0,5.8,50.0,350.0,55.0,25.0,0.0,535.0,0.0,535.0
2021S051248060121,40.0,615.0,120.0,16.4,85.0,370.0,85.0,25.0,25.0,605.0,5.0,605.0
2021S051248060122,45.0,495.0,115.0,10.0,40.0,325.0,40.0,55.0,0.0,480.0,10.0,475.0
2021S051248060123,15.0,370.0,70.0,13.3,45.0,295.0,45.0,50.0,10.0,380.0,0.0,385.0
2021S051248060124,15.0,490.0,135.0,10.5,180.0,310.0,90.0,35.0,35.0,460.0,5.0,545.0
2021S051248060125,15.0,525.0,125.0,0.0,235.0,265.0,235.0,25.0,20.0,565.0,10.0,565.0
2021S051248060126,30.0,580.0,120.0,9.1,100.0,355.0,85.0,25.0,10.0,585.0,0.0,600.0
2021S051248060127,15.0,545.0,130.0,9.3,70.0,300.0,70.0,10.0,5.0,495.0,5.0,500.0
2021S051248060128,10.0,520.0,90.0,12.1,80.0,290.0,80.0,10.0,0.0,465.0,5.0,470.0
2021S051248060129,20.0,505.0,115.0,0.0,80.0,315.0,80.0,30.0,5.0,490.0,5.0,490.0
2021S051248060130,20.0,495.0,155.0,7.7,105.0,340.0,105.0,55.0,10.0,515.0,5.0,520.0
2021S051248060131,5.0,345.0,155.0,5.3,365.0,260.0,35.0,35.0,0.0,340.0,5.0,670.0
2021S051248060132,20.0,500.0,85.0,9.3,100.0,270.0,90.0,10.0,0.0,460.0,5.0,485.0
2021S051248060133,45.0,730.0,155.0,11.5,80.0,445.0,80.0,30.0,5.0,710.0,0.0,705.0
2021S051248060134,50.0,625.0,95.0,8.5,75.0,400.0,75.0,35.0,5.0,605.0,5.0,605.0
2021S051248060135,40.0,690.0,190.0,14.3,140.0,435.0,135.0,40.0,35.0,680.0,5.0,675.0
2021S051248060136,50.0,655.0,170.0,8.9,70.0,440.0,70.0,25.0,5.0,645.0,10.0,640.0
